"true_lambda","true_eta0","r0_seed","replicate","seed","candidate_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,43,3,2,100008,0.01,69.6439140401553,0.482195201535076,2.30258509299405,"interior",2108.14679536389,-10.6863976972436,1,1,0.5,FALSE,0.249991992564948,0.00818651866032372,TRUE,86,0.285000000000004,"53, 496"
0.001,43,3,2,100008,0.015,91.9678090040542,0.760238497995599,2.70805020110221,"interior",2095.22876109554,-23.6044319655866,1,1,0.5,FALSE,0.250601441426526,0.0128889295744249,TRUE,55,0.178999999999995,"53, 496"
0.001,43,3,2,100008,0.02,118.617597177541,1.01470473404195,2.99573227355399,"interior",2083.26552000237,-35.5676730587561,2,0.5,0.5,FALSE,0.245324739997347,0.008388769179971,TRUE,78,0.256,"53, 496"
0.001,43,3,2,100008,0.025,136.402679966692,1.15441127737243,3.2188758248682,"interior",2072.16424053496,-46.668952526175,2,0.5,0.5,FALSE,0.244112756122905,0.00880067482856306,TRUE,43,0.141999999999996,"53, 496"
0.001,43,3,2,100008,0.03,177.202430800248,1.41609264021769,3.40119738166216,"interior",2062.50520198626,-56.3279910748706,2,0.5,0.5,FALSE,0.23846305908337,0.00302813825665915,TRUE,95,0.311999999999998,"53, 496"
0.001,43,3,3,100009,1e-05,2,-3.06805293513362,-4.60517018598809,"lower",1599.95079654559,-533.659355385128,0,0,0,FALSE,0.0157510491358449,0.0096448089567932,TRUE,171,0.606999999999999,"472, 498"
0.001,43,3,3,100009,1e-04,2,-3.06805293513362,-2.30258509299405,"lower",1963.09114246076,-170.519009469956,0,0,0,FALSE,0.015887515533246,0.00960405728952252,TRUE,161,0.572000000000003,"472, 498"
0.001,43,3,3,100009,0.001,17.7374465324588,-0.88552208759059,0,"interior",2116.37900573437,-17.2311461963427,1,1,0.5,FALSE,0.504028019959128,0.00805849116019652,TRUE,82,0.274000000000001,"472, 498"
0.001,43,3,3,100009,0.003,29.6475292858169,-0.371821323036684,1.09861228866811,"interior",2133.61015193071,0,1,1,0.5,FALSE,0.504133675780923,0.0082673623706826,TRUE,61,0.207999999999998,"472, 498"
0.001,43,3,3,100009,0.005,37.4422360525373,-0.138400742242094,1.6094379124341,"interior",2129.54747260377,-4.06267932694846,1,1,0.5,FALSE,0.504292385723599,0.00858477214136633,TRUE,48,0.162000000000006,"472, 498"
