J,panel_seed,true_eta0,true_L,true_lambda,h2,N,N0,causal,maximum_abs_causal_ld,minimum_expected_abs_z,maximum_expected_abs_z,achieved_h2,method,raw_eta0,selected_lambda,selected_model_L,raw_pure_L,eta0_boundary,converged,fit_seconds,finite_eta0,log_ratio,log_J_centered,calibration_group
250,52,2000,3,0.001,0.001,200000,2000,62;214;23,0.0125272909700977,4.49332370102926,10.8728571751695,0.001,AIW-N,758.531576867943,0.001,2,2,interior,TRUE,0.57,TRUE,0.969518030943768,-0.693147180559945,250:52
250,52,5000,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,Inf,0.001,5,1,normal_limit,TRUE,0.471000000000004,FALSE,-Inf,-0.693147180559945,250:52
250,52,5000,2,0.001,0.001,200000,2000,62;124,0.00318438025092661,8.24418754051312,11.5167718913559,0.001,AIW-N,Inf,0.001,3,2,normal_limit,TRUE,0.488999999999997,FALSE,-Inf,-0.693147180559945,250:52
250,52,5000,3,0.001,0.001,200000,2000,62;124;172,0.0253559773603458,4.69153987703036,10.8001446983939,0.001,AIW-N,Inf,0.001,4,3,normal_limit,TRUE,0.470999999999997,FALSE,-Inf,-0.693147180559945,250:52
500,51,20,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,24.9119563659155,0.002,1,1,interior,TRUE,1.194,TRUE,-0.219615590007356,0,500:51
500,51,20,2,0.001,0.001,200000,2000,124;357,0.00216440441257585,8.20344376028293,11.5019184186929,0.001,AIW-N,10.060983549917,0.004,1,1,interior,TRUE,1.076,TRUE,0.687067345280003,0,500:51
500,51,20,3,0.001,0.001,200000,2000,124;357;59,0.00994416214715798,4.53406179616359,10.8488720676402,0.001,AIW-N,10.464954302619,0.004,1,1,interior,TRUE,1.06,TRUE,0.647700284352709,0,500:51
500,51,50,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,35.7159616634478,0.004,1,1,interior,TRUE,1.097,TRUE,0.336425311145692,0,500:51
500,51,50,2,0.001,0.001,200000,2000,124;168,0.00137119125474093,8.23039295729915,11.511736872967,0.001,AIW-N,46.8664104852158,0.006,2,2,interior,TRUE,1.213,TRUE,0.0647217809106806,0,500:51
500,51,50,3,0.001,0.001,200000,2000,124;168;364,0.0117092623667324,4.51696069211876,10.8825669819415,0.001,AIW-N,16.3798697600916,0.004,1,1,interior,TRUE,1.229,TRUE,1.11596987818919,0,500:51
500,51,100,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,100.783337922328,0.004,1,1,interior,TRUE,1.334,TRUE,-0.00780285759628896,0,500:51
500,51,100,2,0.001,0.001,200000,2000,124;204,0.000685585700015229,8.22517234595998,11.5098329772263,0.001,AIW-N,97.1565798367751,0.004,2,2,interior,TRUE,1.151,TRUE,0.0288462838243087,0,500:51
500,51,100,3,0.001,0.001,200000,2000,124;204;445,0.0133376619652911,4.85845643548354,10.8726538380824,0.001,AIW-N,80.3716995183643,0.004,2,2,interior,TRUE,1.115,TRUE,0.218508067808564,0,500:51
500,51,200,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,111.377089205521,0.001,5,1,interior,TRUE,1.056,TRUE,0.585395722634268,0,500:51
500,51,200,2,0.001,0.001,200000,2000,124;268,0.000230272354748061,8.21819452101473,11.507289641372,0.001,AIW-N,105.403887916671,0.002,2,2,interior,TRUE,1.243,TRUE,0.640517843866149,0,500:51
500,51,200,3,0.001,0.001,200000,2000,124;268;53,0.0262976214294466,4.37665894450899,10.8984994839082,0.001,AIW-N,104.467884559051,0.002,2,2,interior,TRUE,1.074,TRUE,0.649437667170883,0,500:51
500,51,500,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,525.486838877386,0.002,5,1,interior,TRUE,1.42,TRUE,-0.0497170466285413,0,500:51
500,51,500,2,0.001,0.001,200000,2000,124;307,0.000309984783695731,8.21758698747497,11.5070682780397,0.001,AIW-N,420.615057345356,0.002,5,2,interior,TRUE,1.165,TRUE,0.172890036114509,0,500:51
500,51,500,3,0.001,0.001,200000,2000,124;307;247,0.00905371214795816,4.76251022449464,10.8774209431298,0.001,AIW-N,358.522251671049,0.002,3,2,interior,TRUE,1.017,TRUE,0.332617371491275,0,500:51
500,51,1000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,327.108955135256,0.001,5,1,interior,TRUE,0.976999999999997,TRUE,1.11746196745011,0,500:51
500,51,1000,2,0.001,0.001,200000,2000,124;325,0.00262247853991935,8.23991452059112,11.5152115744971,0.001,AIW-N,365.823873242949,0.001,5,2,interior,TRUE,1,TRUE,1.00560328205227,0,500:51
500,51,1000,3,0.001,0.001,200000,2000,124;325;55,0.0139733347352979,4.74252271008439,10.9135829689839,0.001,AIW-N,267.858941598118,0.001,2,2,interior,TRUE,1.086,TRUE,1.31729477435585,0,500:51
500,51,2000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,818.649633653418,0.001,1,1,interior,TRUE,0.964999999999996,TRUE,0.893246264957544,0,500:51
500,51,2000,2,0.001,0.001,200000,2000,124;349,0.000558952905850304,8.22420781233462,11.5094813208827,0.001,AIW-N,943.856103421259,0.001,5,2,interior,TRUE,1.056,TRUE,0.750928737832107,0,500:51
500,51,2000,3,0.001,0.001,200000,2000,124;349;298,0.0142037043224985,4.56999066120396,10.8983520582391,0.001,AIW-N,1004.71912638294,0.001,5,2,interior,TRUE,0.985999999999997,TRUE,0.688439154345548,0,500:51
500,51,5000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,3852.02637461451,0.001,5,1,interior,TRUE,1,TRUE,0.260838571529318,0,500:51
