"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,10000,3,4,100045,"oracle_lambda",0.001,2212.29065412617,-1.50855661917481,0,"interior","interior",2665.28777818679,0,2,1,1,TRUE,0.976213630733895,0.95242726146779,TRUE,73,0.478999999999985,"214, 324"
0.001,10000,3,5,100046,"joint_lambda_eta0",0.001,20000,0.693147180559944,0,"upper","interior",2701.82695907328,0,1,1,0.5,FALSE,0.411886779344886,0.260154467956798,TRUE,89,1.33599999999998,"311, 457"
0.001,10000,3,5,100046,"oracle_lambda",0.001,20000,0.693147180559944,0,"upper","interior",2701.82695907328,0,1,1,0.5,FALSE,0.411886779344886,0.260154467956798,TRUE,89,1.33599999999998,"311, 457"
0.001,20,4,1,100047,"joint_lambda_eta0",0.008,27.1898000035391,0.307109629548042,2.07944154167984,"interior","interior",2058.81893252125,27.5736502300369,1,1,0.5,FALSE,0.132899692833705,0.00801201891840542,TRUE,75,0.293999999999983,"331, 385"
0.001,20,4,1,100047,"oracle_lambda",0.001,8.44633034773342,-0.862000204885815,0,"interior","interior",2031.24528229121,0,1,1,0.5,FALSE,0.0672230554258359,0.00799402940924709,TRUE,110,0.447000000000003,"331, 385"
0.001,20,4,2,100048,"joint_lambda_eta0",0.003,15.1407474163047,-0.27834265976817,1.09861228866811,"interior","interior",1997.91336552322,3.86195267838752,1,1,0.5,FALSE,0.503965313276034,0.00800178085384884,TRUE,95,0.377000000000066,"69, 437"
0.001,20,4,2,100048,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1994.05141284483,0,0,0,0,FALSE,0.0208494156354374,0.0206181432100419,TRUE,132,0.561999999999898,"69, 437"
0.001,20,4,3,100049,"joint_lambda_eta0",0.008,2.33948774192523,-2.14580028185665,2.07944154167984,"interior","interior",1739.54751210431,47.441627249347,0,0,0,FALSE,0.0225742091258905,0.0223782506212078,TRUE,121,0.490999999999985,"92, 109"
0.001,20,4,3,100049,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1692.10588485496,0,0,0,0,FALSE,0.0205807333009302,0.0204569151018125,TRUE,124,0.529999999999973,"92, 109"
0.001,20,4,4,100050,"joint_lambda_eta0",0.005,2.6740038586274,-2.0121553518583,1.6094379124341,"interior","interior",1949.2092265996,24.865472435765,0,0,0,FALSE,0.0259342241759422,0.0207851295169859,TRUE,132,0.512000000000057,"194, 481"
0.001,20,4,4,100050,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1924.34375416383,0,0,0,0,FALSE,0.0203426103008207,0.0185179631723281,TRUE,129,0.527999999999906,"194, 481"
0.001,20,4,5,100051,"joint_lambda_eta0",0.005,9.79525296465077,-0.713834396595026,1.6094379124341,"interior","interior",1934.44373172436,13.973752032095,0,0,0,FALSE,0.13273740727453,0.0451127018632981,TRUE,131,0.503000000000043,"192, 333"
0.001,20,4,5,100051,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1920.46997969227,0,0,0,0,FALSE,0.0209119085376053,0.0206323799203861,TRUE,120,0.483000000000061,"192, 333"
0.001,43,4,1,100052,"joint_lambda_eta0",0.005,26.0192139293733,-0.502364853312532,1.6094379124341,"interior","interior",2132.34520678834,24.56940317611,0,0,0,FALSE,0.479862289516251,0.0181399369167404,TRUE,54,0.206000000000017,"112, 361"
0.001,43,4,1,100052,"oracle_lambda",0.001,8.73345019098926,-1.59403961303652,0,"interior","interior",2107.77580361223,0,0,0,0,FALSE,0.311364313793983,0.113675004642124,TRUE,107,0.42999999999995,"112, 361"
0.001,43,4,2,100053,"joint_lambda_eta0",0.003,21.948423717913,-0.672504791146781,1.09861228866811,"interior","interior",2104.6909933807,15.8719574892734,1,1,0.5,FALSE,0.1621398863959,0.00824997279979711,TRUE,70,0.283999999999992,"68, 403"
0.001,43,4,2,100053,"oracle_lambda",0.001,12.5503768221189,-1.23144942489968,0,"interior","interior",2088.81903589142,0,1,1,0.5,FALSE,0.16493497871399,0.00800966062175479,TRUE,102,0.391000000000076,"68, 403"
0.001,43,4,3,100054,"joint_lambda_eta0",0.003,25.4114588528758,-0.525999907460301,1.09861228866811,"interior","interior",2158.80787715986,12.5293640390964,1,1,0.5,FALSE,0.160393065554976,0.0114856279338292,TRUE,53,0.201000000000022,"152, 333"
0.001,43,4,3,100054,"oracle_lambda",0.001,14.3532882740543,-1.09722105172061,0,"interior","interior",2146.27851312076,0,0,0,0,FALSE,0.150094593318909,0.0209153345229192,TRUE,84,0.326999999999998,"152, 333"
0.001,43,4,4,100055,"joint_lambda_eta0",0.005,29.9368535785843,-0.362109833120164,1.6094379124341,"interior","interior",2150.35373120868,29.2182429204772,1,1,0.5,FALSE,0.504424160082329,0.00890872703849122,TRUE,67,0.249000000000024,"109, 421"
0.001,43,4,4,100055,"oracle_lambda",0.001,2,-3.06805293513362,0,"lower","interior",2121.1354882882,0,0,0,0,FALSE,0.0240052667204481,0.0232917258366407,TRUE,137,0.54200000000003,"109, 421"
0.001,43,4,5,100056,"joint_lambda_eta0",0.003,16.6581281695291,-0.948301840037299,1.09861228866811,"interior","interior",2086.47162705786,7.83065585378426,1,1,0.5,FALSE,0.177167561576154,0.00883288521152081,TRUE,65,0.245000000000005,"29, 79"
0.001,43,4,5,100056,"oracle_lambda",0.001,9.42644735946459,-1.5176808281586,0,"interior","interior",2078.64097120408,0,0,0,0,FALSE,0.155914804961347,0.0106638536460584,TRUE,136,0.528999999999996,"29, 79"
0.001,95,4,1,100057,"joint_lambda_eta0",0.003,99.9282273499382,0.05057531019796,1.09861228866811,"interior","interior",2347.77563152573,6.74041506999356,2,1,1,TRUE,0.690379882480689,0.38543914934498,TRUE,63,0.243999999999915,"36, 205"
0.001,95,4,1,100057,"oracle_lambda",0.001,28.69650183367,-1.1971016635924,0,"interior","interior",2341.03521645573,0,1,1,0.5,FALSE,0.444047289504915,0.0141730071720816,TRUE,64,0.242999999999938,"36, 205"
0.001,95,4,2,100058,"joint_lambda_eta0",0.001,30.579371228568,-1.13355125283593,0,"interior","interior",2278.86302942922,0,1,1,0.5,FALSE,0.126387862612993,0.00869286346508902,TRUE,70,0.293000000000006,"60, 87"
0.001,95,4,2,100058,"oracle_lambda",0.001,30.579371228568,-1.13355125283593,0,"interior","interior",2278.86302942922,0,1,1,0.5,FALSE,0.126387862612993,0.00869286346508902,TRUE,70,0.293000000000006,"60, 87"
0.001,95,4,3,100059,"joint_lambda_eta0",0.001,42.8510803768782,-0.796146033878603,0,"interior","interior",2336.31313123742,0,1,1,0.5,FALSE,0.50434570751581,0.00869233627716148,TRUE,64,0.242999999999938,"171, 339"
