"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_raw_eta0_hat","raw_eta0_q10","raw_eta0_q90","median_eta0_used","eta0_used_q10","eta0_used_q90","median_raw_log_eta0_error","median_used_log_eta0_error","median_log_lambda_error","raw_eta0_underestimate_frequency","used_eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_matching_oracle","median_elbo_gain_over_matching_oracle","mean_selected_L","mean_raw_selected_L","fallback_frequency","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.01,447,"oracle_lambda_2x_eta0",15,0.01,1,355.528500423158,270.249801330485,467.943056678528,711.057000846316,540.499602660969,935.886113357056,-0.228953178617024,0.464194001942921,0,0.866666666666667,0,0,1,0,0,1.93333333333333,1.93333333333333,0.0666666666666667,1,0.966666666666667,0.933333333333333,0.817925421104355,1,39,0.392999999999972
0.01,447,"oracle_lambda_profiled_eta0",15,0.01,1,355.528500423158,270.249801330485,467.943056678528,355.528500423158,270.249801330485,467.943056678528,-0.228953178617024,-0.228953178617024,0,0.866666666666667,0.866666666666667,0,1,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.761444257806314,1,77,0.319999999999993
0.01,972,"joint_lambda_2x_eta0",15,0.01,0.933333333333333,860.886958672165,668.723358058844,1324.1420277999,1721.77391734433,1337.44671611769,2648.2840555998,-0.121392599392899,0.571754581167046,0,0.6,0,0,0.933333333333333,0.0089375045774432,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.746657902656156,1,59,0.411000000000058
0.01,972,"joint_lambda_profiled_eta0",15,0.01,0.8,779.499718619094,668.723358058844,1145.25411246672,779.499718619094,668.723358058844,1145.25411246672,-0.220703476938819,-0.220703476938819,0,0.666666666666667,0.666666666666667,0,0.8,0.113566840041646,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.738478208032721,1,73,0.305999999999813
0.01,972,"oracle_lambda_2x_eta0",15,0.01,1,882.973210353334,668.723358058844,1358.56046174607,1765.94642070667,1337.44671611769,2717.12092349213,-0.0960609436674238,0.597086236892522,0,0.533333333333333,0,0,1,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.747124979904861,1,59,0.389000000000124
0.01,972,"oracle_lambda_profiled_eta0",15,0.01,1,882.973210353334,668.723358058844,1358.56046174607,882.973210353334,668.723358058844,1358.56046174607,-0.0960609436674238,-0.0960609436674238,0,0.533333333333333,0.533333333333333,0,1,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.741545487365023,1,69,0.305999999999813
0.01,2115,"joint_lambda_2x_eta0",15,0.01,1,2389.24186922776,1122.67360630923,8101.47596856643,4778.48373845552,2245.34721261845,16202.9519371329,0.121921293595459,0.815068474155404,0,0.4,0.133333333333333,0.0666666666666667,1,0,0,1.8,1.8,0.2,0.966666666666667,0.866666666666667,0.733333333333333,0.751695974099868,1,72,0.597000000000207
0.01,2115,"joint_lambda_profiled_eta0",15,0.01,0.933333333333333,2389.24186922776,940.119565435078,8101.47596856643,2389.24186922776,940.119565435078,8101.47596856643,0.121921293595459,0.121921293595459,0,0.4,0.4,0.0666666666666667,0.933333333333333,0.0282911608630457,0,1.8,1.8,0.2,0.966666666666667,0.866666666666667,0.733333333333333,0.748482228731819,1,73,0.485000000000014
0.01,2115,"oracle_lambda_2x_eta0",15,0.01,1,2389.24186922776,1122.67360630923,8101.47596856643,4778.48373845552,2245.34721261845,16202.9519371329,0.121921293595459,0.815068474155404,0,0.4,0.133333333333333,0.0666666666666667,1,0,0,1.8,1.8,0.2,0.966666666666667,0.866666666666667,0.733333333333333,0.751695974099868,1,72,0.597000000000207
0.01,2115,"oracle_lambda_profiled_eta0",15,0.01,1,2389.24186922776,1122.67360630923,8101.47596856643,2389.24186922776,1122.67360630923,8101.47596856643,0.121921293595459,0.121921293595459,0,0.4,0.4,0.0666666666666667,1,0,0,1.8,1.8,0.2,0.966666666666667,0.866666666666667,0.733333333333333,0.749671982154971,1,73,0.485000000000014
0.01,4599,"joint_lambda_2x_eta0",15,0.01,0.933333333333333,2529.48965806504,1638.86654465357,17630.2468249049,5058.97931613008,3277.73308930713,20000,-0.59782132234563,0.0953258582143146,0,0.666666666666667,0.4,0.133333333333333,0.933333333333333,0.0265646972611042,0,1.93333333333333,1.93333333333333,0.0666666666666667,0.966666666666667,0.933333333333333,0.866666666666667,0.604169507047419,1,44,0.624000000000024
