"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_matching_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.01,206,3,5,100021,"joint_lambda_calibrated_eta0",0.01,259.008231820831,398.095652308618,1.537,0.228983675496898,0.658816140053357,0,"interior","upper",2337.97787843416,0,2,1,1,TRUE,0.6635047615251,0.327035627375436,TRUE,20,0.264999999999986,"111, 336"
0.01,206,3,5,100021,"joint_lambda_profiled_eta0",0.01,259.008231820831,259.008231820831,1,0.228983675496898,0.228983675496898,0,"interior","upper",2339.22853561277,0,2,1,1,TRUE,0.653453183175028,0.307011792229918,TRUE,58,0.240999999999985,"111, 336"
0.01,206,3,5,100021,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28299.9364281995,NA,2,1,1,TRUE,0.71971422420129,0.439428524519794,TRUE,4,0.0169999999999959,"111, 336"
0.01,206,3,5,100021,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28305.161249525,NA,2,1,1,TRUE,0.691976756173433,0.383953912091247,TRUE,20,0.0550000000000068,"111, 336"
0.01,447,3,1,100022,"joint_lambda_calibrated_eta0",0.01,413.179722988468,635.057234233275,1.537,-0.0786759316882124,0.351156532868246,0,"interior","upper",2375.16763735769,0,2,1,1,TRUE,0.999216959520108,0.999119436851391,TRUE,76,0.412999999999954,"111, 195"
0.01,447,3,1,100022,"joint_lambda_profiled_eta0",0.01,413.179722988468,413.179722988468,1,-0.0786759316882124,-0.0786759316882124,0,"interior","upper",2376.06576868213,0,2,1,1,TRUE,0.998052633864901,0.997490720232812,TRUE,81,0.325999999999965,"111, 195"
0.01,447,3,1,100022,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28307.2596889393,NA,2,1,1,TRUE,0.998902304574755,0.997827755597963,TRUE,4,0.0169999999999959,"111, 195"
0.01,447,3,1,100022,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28304.0422568165,NA,2,1,1,TRUE,0.999921519451701,0.999897048612905,TRUE,4,0.0169999999999959,"111, 195"
0.01,447,3,2,100023,"joint_lambda_calibrated_eta0",0.01,295.94269422205,454.863921019291,1.537,-0.412392759633707,0.0174397049227517,0,"interior","upper",2350.86762936418,0,2,1,1,TRUE,0.856978445480722,0.731995654179049,TRUE,82,0.249000000000024,"93, 374"
0.01,447,3,2,100023,"joint_lambda_profiled_eta0",0.01,295.94269422205,295.94269422205,1,-0.412392759633707,-0.412392759633707,0,"interior","upper",2351.86725233575,0,2,1,1,TRUE,0.818319545241074,0.676340782022113,TRUE,39,0.156000000000006,"93, 374"
0.01,447,3,2,100023,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28305.5764037853,NA,2,1,1,TRUE,0.918033000569718,0.836544985323659,TRUE,4,0.0169999999999959,"93, 374"
0.01,447,3,2,100023,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28305.4048812552,NA,2,1,1,TRUE,0.932869191172916,0.86742898712036,TRUE,11,0.0310000000000059,"93, 374"
0.01,447,3,3,100024,"joint_lambda_calibrated_eta0",0.01,402.549231996234,618.718169578211,1.537,-0.104741189716291,0.325091274840167,0,"interior","upper",2348.5092980333,0,2,1,1,TRUE,0.999393506228807,0.998787012555995,TRUE,69,0.475999999999942,"54, 321"
0.01,447,3,3,100024,"joint_lambda_profiled_eta0",0.01,402.549231996234,402.549231996234,1,-0.104741189716291,-0.104741189716291,0,"interior","upper",2349.88015065685,0,2,1,1,TRUE,0.997622297420673,0.995244596122236,TRUE,92,0.373999999999967,"54, 321"
0.01,447,3,3,100024,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28272.8463442838,NA,2,1,1,TRUE,0.999966940948106,0.999933881896228,TRUE,5,0.0199999999999818,"54, 321"
0.01,447,3,3,100024,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28273.7613343278,NA,2,1,1,TRUE,0.999992457721458,0.999984915442953,TRUE,8,0.0250000000000341,"54, 321"
0.01,447,3,4,100025,"joint_lambda_calibrated_eta0",0.01,358.165892280186,550.500976434646,1.537,-0.221562329285621,0.208270135270837,0,"interior","upper",2363.17560430588,0,1,1,0.5,FALSE,0.947294566765516,0.89458914921176,TRUE,41,0.34499999999997,"167, 351"
0.01,447,3,4,100025,"joint_lambda_profiled_eta0",0.01,358.165892280186,358.165892280186,1,-0.221562329285621,-0.221562329285621,0,"interior","upper",2364.20112274437,0,1,1,0.5,FALSE,0.906152750227084,0.812305597958466,TRUE,71,0.298000000000002,"167, 351"
0.01,447,3,4,100025,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28299.6096586441,NA,2,1,1,TRUE,0.991873296164701,0.983746592332548,TRUE,5,0.0209999999999582,"167, 351"
0.01,447,3,4,100025,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28300.6520139504,NA,2,1,1,TRUE,0.993085075106547,0.986170150280159,TRUE,10,0.0289999999999964,"167, 351"
0.01,447,3,5,100026,"joint_lambda_calibrated_eta0",0.01,355.528500423158,546.447305150394,1.537,-0.228953178617024,0.200879285939434,0,"interior","upper",2369.44503323387,0,2,1,1,TRUE,0.680838231474516,0.512867338835239,TRUE,69,0.418000000000006,"201, 385"
0.01,447,3,5,100026,"joint_lambda_profiled_eta0",0.01,355.528500423158,355.528500423158,1,-0.228953178617024,-0.228953178617024,0,"interior","upper",2370.30202445056,0,2,1,1,TRUE,0.618068724465115,0.422437400283476,TRUE,82,0.338999999999999,"201, 385"
