"true_lambda","true_eta0","r0_seed","replicate","seed","profile_type","candidate_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,206,5,5,100111,"calibrated_eta0",0.01,993.997190668887,1527.77368205808,1.537,1.57385821157415,2.00369067613061,2.30258509299405,"interior",2412.39726372752,-26.639892622049,2,1,1,TRUE,0.592543197002479,0.243252021899028,TRUE,61,0.404999999999973,"122, 211"
0.001,206,5,5,100111,"profiled_eta0",1e-05,2,2,1,-4.63472898822964,-4.63472898822964,-4.60517018598809,"lower",1990.74609407907,-450.114054993561,0,0,0,FALSE,0.0445138228794218,0.0337111558625348,TRUE,196,1.02999999999997,"122, 211"
0.001,206,5,5,100111,"profiled_eta0",1e-04,21.8189806818254,21.8189806818254,1,-2.2450959043326,-2.2450959043326,-2.30258509299405,"interior",2317.99783277593,-122.862316296702,1,1,0.5,FALSE,0.0802949216197034,0.00818157442242806,TRUE,78,0.384000000000015,"122, 211"
0.001,206,5,5,100111,"profiled_eta0",0.001,84.4168450505083,84.4168450505083,1,-0.89210920119579,-0.89210920119579,0,"interior",2431.08797009391,-9.7721789787297,1,1,0.5,FALSE,0.120467611614091,0.0145683395310386,TRUE,59,0.26299999999992,"122, 211"
0.001,206,5,5,100111,"profiled_eta0",0.002,186.988777665299,186.988777665299,1,-0.0968275662208464,-0.0968275662208464,0.693147180559945,"interior",2440.86014907264,0,2,1,1,TRUE,0.487376313786001,0.190720786487575,TRUE,86,0.392999999999802,"122, 211"
0.001,206,5,5,100111,"profiled_eta0",0.004,320.972132031739,320.972132031739,1,0.443478134471198,0.443478134471198,1.38629436111989,"interior",2436.81887239335,-4.0412766792906,2,1,1,TRUE,0.534196505441168,0.20829452825229,TRUE,78,0.362999999999829,"122, 211"
0.001,206,5,5,100111,"profiled_eta0",0.006,480.154741324902,480.154741324902,1,0.846232260920022,0.846232260920022,1.79175946922805,"interior",2428.91925984335,-11.9408892292854,2,1,1,TRUE,0.557738791647089,0.220241516309758,TRUE,76,0.361000000000104,"122, 211"
0.001,206,5,5,100111,"profiled_eta0",0.008,690.29811016749,690.29811016749,1,1.20924737921871,1.20924737921871,2.07944154167984,"interior",2420.7005300075,-20.1596190651326,2,1,1,TRUE,0.572867865811362,0.229489309305528,TRUE,73,0.348999999999933,"122, 211"
0.001,206,5,5,100111,"profiled_eta0",0.01,993.997190668887,993.997190668887,1,1.57385821157415,1.57385821157415,2.30258509299405,"interior",2412.785720881,-28.0744281916395,2,1,1,TRUE,0.58376653782949,0.237037596802325,TRUE,68,0.335000000000036,"122, 211"
0.001,447,5,1,100112,"calibrated_eta0",1e-05,2,3.074,1.537,-5.40941141405362,-4.97957894949717,-4.60517018598809,"lower",2100.00976752521,-405.735669731237,0,0,0,FALSE,0.0123548769237831,0.0110096903380462,TRUE,7,0.996000000000095,"230, 363"
