"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_raw_eta0_hat","raw_eta0_q10","raw_eta0_q90","median_eta0_used","eta0_used_q10","eta0_used_q90","median_raw_log_eta0_error","median_used_log_eta0_error","median_log_lambda_error","raw_eta0_underestimate_frequency","used_eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_matching_oracle","median_elbo_gain_over_matching_oracle","mean_selected_L","mean_raw_selected_L","fallback_frequency","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.001,972,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86666666666667,1.86666666666667,0,1,0.933333333333333,0.866666666666667,0.713884560990099,1,6,0.0210000000000719
0.001,2115,"joint_lambda_calibrated_eta0",15,0.001,0.866666666666667,1963.14531256958,737.709496971036,13517.1392038105,3017.35434541945,1133.85949684448,14331.8429562568,-0.074506874182311,0.355325590374147,0,0.533333333333333,0.333333333333333,0.133333333333333,0,0.195407298716388,0,1.8,1.8,0.2,1,0.9,0.8,0.706762294218206,1,71,0.459999999999809
0.001,2115,"joint_lambda_profiled_eta0",15,0.001,0.866666666666667,1963.14531256958,737.709496971036,13517.1392038105,1963.14531256958,737.709496971036,13517.1392038105,-0.074506874182311,-0.074506874182311,0,0.533333333333333,0.533333333333333,0.133333333333333,0,0.155827791588157,0,1.8,1.8,0.2,1,0.9,0.8,0.706172824411703,1,71,0.368999999999915
0.001,2115,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,0.966666666666667,0.933333333333333,0.866666666666667,0.796830742659855,1,4,0.0180000000000007
0.001,2115,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86666666666667,1.86666666666667,0,0.966666666666667,0.9,0.8,0.774219803968122,1,4,0.0170000000000528
0.001,4599,"joint_lambda_calibrated_eta0",15,0.001,1,1429.23302753523,1111.24191748536,16382.8310231852,2196.73116332165,1707.97882717499,18736.4112826357,-1.16870093255103,-0.738868467994568,0,0.8,0.733333333333333,0.133333333333333,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,0.966666666666667,0.9,0.8,0.520329976806303,1,64,0.447000000000003
0.001,4599,"joint_lambda_profiled_eta0",15,0.001,1,1429.23302753523,1111.24191748536,16382.8310231852,1429.23302753523,1111.24191748536,16382.8310231852,-1.16870093255103,-1.16870093255103,0,0.8,0.8,0.133333333333333,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,0.966666666666667,0.9,0.8,0.51884888874436,1,63,0.352000000000089
0.001,4599,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,1,0.966666666666667,0.933333333333333,0.562494459818014,1,4,0.0180000000000291
0.001,4599,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,0.966666666666667,0.933333333333333,0.866666666666667,0.563368272605855,1,5,0.0190000000000055
0.001,10000,"joint_lambda_calibrated_eta0",15,0.001,1,5702.69848643543,1055.14646007931,20000,8765.04757365125,1621.7601091419,20000,-0.561645611507924,-0.131813146951465,0,0.6,0.533333333333333,0.4,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.77708767283061,1,65,0.617999999999938
0.001,10000,"joint_lambda_profiled_eta0",15,0.001,1,5702.69848643543,1055.14646007931,20000,5702.69848643543,1055.14646007931,20000,-0.561645611507924,-0.561645611507924,0,0.6,0.6,0.4,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.775694479570632,1,66,0.514999999999986
0.001,10000,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,0,1,0.9,0.8,0.78882856163005,1,5,0.0180000000000291
0.001,10000,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86666666666667,1.86666666666667,0,1,0.933333333333333,0.866666666666667,0.794609018237742,1,6,0.0180000000000291
0.01,20,"joint_lambda_calibrated_eta0",15,0.01,1,2.42428825652275,2,16.3415022902389,3.72613105027547,3.074,25.1168890200972,-2.11019429470967,-1.68036183015321,0,0.933333333333333,0.733333333333333,0.2,1,0,0,1,0.4,1,0.933333333333333,0.466666666666667,0,0.384384865846769,1,124,0.661000000000001
0.01,20,"joint_lambda_profiled_eta0",15,0.01,1,2.42428825652275,2,16.3415022902389,2.42428825652275,2,16.3415022902389,-2.11019429470967,-2.11019429470967,0,0.933333333333333,0.933333333333333,0.2,1,0,0,1,0.333333333333333,1,0.933333333333333,0.466666666666667,0,0.384384865846769,1,115,0.5
0.01,20,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73333333333333,1.73333333333333,0,1,0.866666666666667,0.733333333333333,0.647340177344129,1,7,0.0249999999998636
0.01,20,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.6,0,0.22,0.5,0.0666666666666667,0.411341090265387,1,9,0.025000000000091
0.01,43,"joint_lambda_calibrated_eta0",15,0.01,1,23.3034094584586,16.7932071512868,32.1974609036692,35.8173403376509,25.8111593915278,49.4874974089395,-0.612600437137695,-0.182767972581236,0,1,0.733333333333333,0,1,0,0,1,1,1,1,0.5,0,0.363961738268854,1,45,0.380999999999858
0.01,43,"joint_lambda_profiled_eta0",15,0.01,1,23.3034094584586,16.7932071512868,32.1974609036692,23.3034094584586,16.7932071512868,32.1974609036692,-0.612600437137695,-0.612600437137695,0,1,1,0,1,0,0,1,0.733333333333333,1,1,0.5,0,0.363961738268854,1,67,0.298999999999978
0.01,43,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,1,0.836736762402183,1,6,0.0219999999999914
0.01,43,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,4.2,0,0.346666666666667,0.733333333333333,0.533333333333333,0.581069582021364,1,12,0.0340000000001055
0.01,95,"joint_lambda_calibrated_eta0",15,0.01,1,55.151153152313,38.6696308278141,94.2428960060069,84.7673223951052,59.4352225823503,144.851331161233,-0.543799236739518,-0.113966772183059,0,0.866666666666667,0.533333333333333,0,1,0,0,1.2,1.2,0.8,0.933333333333333,0.566666666666667,0.2,0.46770505463402,1,31,0.271999999999935
0.01,95,"joint_lambda_profiled_eta0",15,0.01,1,55.151153152313,38.6696308278141,94.2428960060069,55.151153152313,38.6696308278141,94.2428960060069,-0.543799236739518,-0.543799236739518,0,0.866666666666667,0.866666666666667,0,1,0,0,1.13333333333333,1.13333333333333,0.866666666666667,0.933333333333333,0.533333333333333,0.133333333333333,0.435685052973122,1,40,0.228999999999814
0.01,95,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,1,0.966666666666667,0.933333333333333,0.806600669585218,1,5,0.021000000000015
0.01,95,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,0,0.531111111111111,0.8,0.666666666666667,0.67497822525942,1,14,0.0370000000002619
0.01,206,"joint_lambda_calibrated_eta0",15,0.01,1,151.981440724051,102.916715894663,219.675568946695,233.595474392866,158.182992330097,337.64134947107,-0.304117755897843,0.125714708658616,0,0.866666666666667,0.4,0,1,0,0,1.6,1.6,0.4,1,0.8,0.6,0.549849653753222,1,22,0.208999999999833
0.01,206,"joint_lambda_profiled_eta0",15,0.01,1,151.981440724051,102.916715894663,219.675568946695,151.981440724051,102.916715894663,219.675568946695,-0.304117755897843,-0.304117755897843,0,0.866666666666667,0.866666666666667,0,1,0,0,1.46666666666667,1.46666666666667,0.533333333333333,1,0.733333333333333,0.466666666666667,0.524775121846913,1,41,0.178000000000111
0.01,206,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,0.933333333333333,0.9,0.8,0.726716476259281,1,5,0.0209999999997308
0.01,206,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,0,0.771111111111111,0.833333333333333,0.666666666666667,0.680686014137925,1,18,0.0470000000000255
0.01,447,"joint_lambda_calibrated_eta0",15,0.01,1,355.528500423158,270.249801330485,467.943056678528,546.447305150394,415.373944644955,719.228478114898,-0.228953178617024,0.200879285939434,0,0.866666666666667,0.2,0,1,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.778073980897005,1,56,0.418000000000006
0.01,447,"joint_lambda_profiled_eta0",15,0.01,0.933333333333333,355.528500423158,270.249801330485,408.927526591574,355.528500423158,270.249801330485,408.927526591574,-0.228953178617024,-0.228953178617024,0,0.933333333333333,0.933333333333333,0,0.933333333333333,0.0024288225341176,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.761444257796948,1,77,0.338999999999999
0.01,447,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,1,0.854083177154547,1,5,0.0190000000000055
0.01,447,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,1,0.872926561293524,1,8,0.0250000000000341
0.01,972,"joint_lambda_calibrated_eta0",15,0.01,0.866666666666667,779.499718619094,668.723358058844,1145.25411246673,1198.09106751755,1027.82780133644,1760.25557086136,-0.220703476938819,0.209128987617639,0,0.666666666666667,0.133333333333333,0,0.866666666666667,0.059820371656042,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.743489699023616,1,63,0.396000000000015
0.01,972,"joint_lambda_profiled_eta0",15,0.01,0.8,779.499718619094,668.723358058844,1145.25411246673,779.499718619094,668.723358058844,1145.25411246673,-0.220703476938819,-0.220703476938819,0,0.666666666666667,0.666666666666667,0,0.8,0.113566840041646,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.738478208032721,1,73,0.309000000000026
0.01,972,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,0.977777777777778,0.933333333333333,0.866666666666667,0.779182013734489,1,5,0.0180000000000291
0.01,972,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0.955555555555556,0.933333333333333,0.866666666666667,0.758275095956304,1,6,0.021000000000015
0.01,2115,"joint_lambda_calibrated_eta0",15,0.01,0.933333333333333,2389.24186922776,940.119565435077,8101.47596856643,3672.26475300306,1444.96377207371,12451.9685636866,0.121921293595459,0.551753758151919,0,0.4,0.266666666666667,0.0666666666666667,0.933333333333333,0.00558246633618182,0,1.8,1.8,0.2,0.966666666666667,0.866666666666667,0.733333333333333,0.750294032505227,1,73,0.608000000000004
0.01,2115,"joint_lambda_profiled_eta0",15,0.01,0.933333333333333,2389.24186922776,940.119565435077,8101.47596856643,2389.24186922776,940.119565435077,8101.47596856643,0.121921293595459,0.121921293595459,0,0.4,0.4,0.0666666666666667,0.933333333333333,0.0282911608630457,0,1.8,1.8,0.2,0.966666666666667,0.866666666666667,0.733333333333333,0.74848222873182,1,73,0.516999999999996
0.01,2115,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86666666666667,1.86666666666667,0,0.966666666666667,0.9,0.8,0.836806947335083,1,4,0.0179999999999723
0.01,2115,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,0,0.966666666666667,0.866666666666667,0.733333333333333,0.81900555003433,1,4,0.0179999999995744
0.01,4599,"joint_lambda_calibrated_eta0",15,0.01,0.933333333333333,2529.48965806504,1638.86654465357,17630.2468249049,3887.82560444596,2518.93787913253,20000,-0.59782132234563,-0.167988857789171,0,0.666666666666667,0.6,0.133333333333333,0.933333333333333,0.0553525100955994,0,1.93333333333333,1.93333333333333,0.0666666666666667,0.966666666666667,0.933333333333333,0.866666666666667,0.602946869522124,1,47,0.550000000000182
0.01,4599,"joint_lambda_profiled_eta0",15,0.01,0.933333333333333,2529.48965806504,1638.86654465357,17630.2468249049,2529.48965806504,1638.86654465357,17630.2468249049,-0.59782132234563,-0.59782132234563,0,0.666666666666667,0.666666666666667,0.133333333333333,0.933333333333333,0.0748131435880168,0,1.93333333333333,1.93333333333333,0.0666666666666667,0.966666666666667,0.933333333333333,0.866666666666667,0.600233018824137,1,52,0.477000000000089
0.01,4599,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,0.966666666666667,0.933333333333333,0.866666666666667,0.62133916733595,1,4,0.0190000000000055
0.01,4599,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,0.966666666666667,0.933333333333333,0.866666666666667,0.621633811261701,1,5,0.0180000000000291
0.01,10000,"joint_lambda_calibrated_eta0",15,0.01,0.733333333333333,4128.0347049124,1118.31854600349,20000,6344.78934145037,1718.85560520737,20000,-0.884783657652353,-0.454951193095894,0,0.666666666666667,0.6,0.333333333333333,0.733333333333333,0.214951565544258,0,1.8,1.8,0.2,1,0.9,0.8,0.798537832142195,1,63,0.475000000000136
0.01,10000,"joint_lambda_profiled_eta0",15,0.01,0.733333333333333,4128.0347049124,1118.31854600349,20000,4128.0347049124,1118.31854600349,20000,-0.884783657652353,-0.884783657652353,0,0.666666666666667,0.666666666666667,0.333333333333333,0.733333333333333,0.24505668125048,0,1.8,1.8,0.2,1,0.9,0.8,0.796099860229387,1,67,0.359000000000151
0.01,10000,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,0,1,0.9,0.8,0.852166486929042,1,5,0.0180000000000291
0.01,10000,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,0,1,0.9,0.8,0.856974631841576,1,5,0.0189999999997781
