"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_eta0_hat","eta0_q10","eta0_q90","median_log_eta0_error","median_log_lambda_error","eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_oracle","median_elbo_gain_over_oracle","mean_selected_L","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.001,972,"joint_lambda_eta0",15,0.001,0.933333333333333,527.893727536389,426.573031535448,823.417982916196,-0.610460814617753,0,0.933333333333333,0,0,1.02152262567045,0,1.86666666666667,1,0.933333333333333,0.866666666666667,0.689669679952587,1,70,0.288000000000011
0.001,972,"oracle_lambda",15,0.001,1,495.379831823086,405.438209283291,730.405822816614,-0.674030999127944,0,1,0,0,0,0,1.86666666666667,1,0.933333333333333,0.866666666666667,0.691894687345866,1,71,0.250999999999991
0.001,2115,"joint_lambda_eta0",15,0.001,1,1505.02160499031,737.709496971036,3146.47940505372,-0.340247558925154,0,0.666666666666667,0,0,0,0,1.8,1,0.9,0.8,0.762978036352336,1,72,0.302999999999884
0.001,2115,"oracle_lambda",15,0.001,1,1505.02160499031,737.709496971036,3146.47940505372,-0.340247558925154,0,0.666666666666667,0,0,0,0,1.8,1,0.9,0.8,0.762978036352336,1,72,0.302999999999884
0.001,4599,"joint_lambda_eta0",15,0.001,1,1429.23302753523,1111.24191748536,16382.8511052467,-1.16870093255103,0,0.8,0.133333333333333,0,0,0,1.86666666666667,0.966666666666667,0.9,0.8,0.55693367226718,1,63,0.307999999999993
0.001,4599,"oracle_lambda",15,0.001,1,1429.23302753523,1111.24191748536,16382.8511052467,-1.16870093255103,0,0.8,0.133333333333333,0,0,0,1.86666666666667,0.966666666666667,0.9,0.8,0.55693367226718,1,63,0.307999999999993
0.001,10000,"joint_lambda_eta0",15,0.001,1,5702.69085546397,1055.14646007931,20000,-0.561646949642244,0,0.6,0.4,0,0,0,1.86666666666667,1,0.933333333333333,0.866666666666667,0.789599926478841,1,66,0.478999999999985
0.001,10000,"oracle_lambda",15,0.001,1,5702.69085546397,1055.14646007931,20000,-0.561646949642244,0,0.6,0.4,0,0,0,1.86666666666667,1,0.933333333333333,0.866666666666667,0.789599926478841,1,66,0.478999999999985
0.01,20,"joint_lambda_eta0",15,0.015,0.133333333333333,14.2065793525154,2.23745800480195,23.9579310829416,-0.34202708156896,0.405465108108164,0.8,0.133333333333333,0,4.33423677460448,3.60715929331377,0.466666666666667,0.466666666666667,0.233333333333333,0,0.204833744915276,1,105,0.522000000000048
0.01,20,"oracle_lambda",15,0.01,1,2.42428825652275,2,16.3415022902389,-2.11019429470967,0,0.933333333333333,0.2,0,0,0,0.333333333333333,0.333333333333333,0.166666666666667,0,0.108656728635527,1,115,0.511000000000081
0.01,43,"joint_lambda_eta0",15,0.015,0.333333333333333,31.6906383725054,19.5253163159191,50.1371042096998,-0.305178797905036,0.405465108108164,0.8,0,0,1.94974344894382,1.30904243421674,0.8,0.733333333333333,0.4,0.0666666666666667,0.334518400697689,1,61,0.240999999999985
0.01,43,"oracle_lambda",15,0.01,1,23.3034094584586,16.7932071512868,32.1974609036692,-0.612600437137695,0,1,0,0,0,0,0.733333333333333,0.733333333333333,0.366666666666667,0,0.322274965342259,1,67,0.296000000000049
0.01,95,"joint_lambda_eta0",15,0.015,0.466666666666667,77.2793928345728,48.886609089048,102.791533353346,-0.206449558422629,0.405465108108164,0.733333333333333,0,0,0.939697263934553,0.0453632896937961,1.13333333333333,1,0.566666666666667,0.133333333333333,0.439395094727747,1,53,0.242999999999995
